"cc_iso3c","indicator","value","value_label","hover_label"
"GBR","incise_index",1,"1.00","GBR: 1.00"
"NZL","incise_index",0.9788692166275432,"0.98","NZL: 0.98"
"CAN","incise_index",0.9371708944302656,"0.94","CAN: 0.94"
"FIN","incise_index",0.8821048509670263,"0.88","FIN: 0.88"
"AUS","incise_index",0.8725648099595219,"0.87","AUS: 0.87"
"DNK","incise_index",0.8449329100598051,"0.84","DNK: 0.84"
"NOR","incise_index",0.8286484079616708,"0.83","NOR: 0.83"
"NLD","incise_index",0.7936445995303185,"0.79","NLD: 0.79"
"SWE","incise_index",0.7824137642979726,"0.78","SWE: 0.78"
"KOR","incise_index",0.7741809214253687,"0.77","KOR: 0.77"
"USA","incise_index",0.7638865868070119,"0.76","USA: 0.76"
"EST","incise_index",0.6769788451736509,"0.68","EST: 0.68"
"CHE","incise_index",0.6562049270930469,"0.66","CHE: 0.66"
"IRL","incise_index",0.6286565175735743,"0.63","IRL: 0.63"
"AUT","incise_index",0.6197549768038616,"0.62","AUT: 0.62"
"FRA","incise_index",0.6134832154707993,"0.61","FRA: 0.61"
"ESP","incise_index",0.5979908496080772,"0.60","ESP: 0.60"
"BEL","incise_index",0.5181720248904672,"0.52","BEL: 0.52"
"DEU","incise_index",0.4986424324262602,"0.50","DEU: 0.50"
"LTU","incise_index",0.4908523393299859,"0.49","LTU: 0.49"
"MEX","incise_index",0.47373062854430864,"0.47","MEX: 0.47"
"CHL","incise_index",0.4713872752437796,"0.47","CHL: 0.47"
"LVA","incise_index",0.45705554778051327,"0.46","LVA: 0.46"
"JPN","incise_index",0.45476179750191886,"0.45","JPN: 0.45"
"ITA","incise_index",0.41669531559603346,"0.42","ITA: 0.42"
"SVN","incise_index",0.3670193002466866,"0.37","SVN: 0.37"
"ISR","incise_index",0.32872450187573554,"0.33","ISR: 0.33"
"POL","incise_index",0.2818922138614067,"0.28","POL: 0.28"
"ISL","incise_index",0.2591035072800579,"0.26","ISL: 0.26"
"CZE","incise_index",0.2518617872452379,"0.25","CZE: 0.25"
"PRT","incise_index",0.24979062584099507,"0.25","PRT: 0.25"
"TUR","incise_index",0.19203332693677808,"0.19","TUR: 0.19"
"SVK","incise_index",0.17115495897187907,"0.17","SVK: 0.17"
"HRV","incise_index",0.14927794786964638,"0.15","HRV: 0.15"
"BGR","incise_index",0.12958097670475255,"0.13","BGR: 0.13"
"ROU","incise_index",0.1216608857360482,"0.12","ROU: 0.12"
"GRC","incise_index",0.10637013861734056,"0.11","GRC: 0.11"
"HUN","incise_index",0,"0.00","HUN: 0.00"
"InCiSE","incise_index",0.516875100691825,"0.52","InCiSE: 0.52"
