"cc_iso3c","indicator","value","rank_value","value_label","hover_label","colour_group","text_colour","text_weight"
"GBR","ind_cap",0.8001822898518329,6,"0.80","GBR: 0.80","#dddddd","#444444","normal"
"GBR","ind_crm",0.8353014303440365,7,"0.84","GBR: 0.84","#dddddd","#444444","normal"
"GBR","ind_dig",0.5073809286638896,28,"0.51","GBR: 0.51","#dddddd","#444444","normal"
"GBR","ind_ffm",0.944731744061556,3,"0.94","GBR: 0.94","#009d94","#009d94","bold"
"GBR","ind_hrm",0.846225815926419,5,"0.85","GBR: 0.85","#009d94","#009d94","bold"
"GBR","ind_inc",0.7124396091639281,15,"0.71","GBR: 0.71","#dddddd","#444444","normal"
"GBR","ind_int",0.6847067265835708,14,"0.68","GBR: 0.68","#dddddd","#444444","normal"
"GBR","ind_opn",0.9248875662489756,3,"0.92","GBR: 0.92","#009d94","#009d94","bold"
"GBR","ind_pol",0.951279355064844,3,"0.95","GBR: 0.95","#009d94","#009d94","bold"
"GBR","ind_pro",0.8897661256990063,3,"0.89","GBR: 0.89","#009d94","#009d94","bold"
"GBR","ind_reg",1,1,"1.00","GBR: 1.00","#009d94","#009d94","bold"
"GBR","ind_tax",0.8359350457630557,3,"0.84","GBR: 0.84","#009d94","#009d94","bold"
"GBR","incise_index",1,1,"1.00","GBR: 1.00","#dddddd","#444444","normal"
"NZL","ind_cap",1,1,"1.00","NZL: 1.00","#009d94","#009d94","bold"
"NZL","ind_crm",0.7259167184839702,15,"0.73","NZL: 0.73","#dddddd","#444444","normal"
"NZL","ind_dig",0.6187307568671506,21,"0.62","NZL: 0.62","#dddddd","#444444","normal"
"NZL","ind_ffm",0.8780838540976518,4,"0.88","NZL: 0.88","#009d94","#009d94","bold"
"NZL","ind_hrm",0.8246198551332765,7,"0.82","NZL: 0.82","#dddddd","#444444","normal"
"NZL","ind_inc",0.7260732028216608,14,"0.73","NZL: 0.73","#dddddd","#444444","normal"
"NZL","ind_int",1,1,"1.00","NZL: 1.00","#009d94","#009d94","bold"
"NZL","ind_opn",0.8672592544404332,5,"0.87","NZL: 0.87","#009d94","#009d94","bold"
"NZL","ind_pol",0.9260427620049072,5,"0.93","NZL: 0.93","#009d94","#009d94","bold"
"NZL","ind_pro",1,1,"1.00","NZL: 1.00","#009d94","#009d94","bold"
"NZL","ind_reg",0.7602500522654569,5,"0.76","NZL: 0.76","#009d94","#009d94","bold"
"NZL","ind_tax",0.6041003235090929,22,"0.60","NZL: 0.60","#dddddd","#444444","normal"
"NZL","incise_index",0.9788692166275432,2,"0.98","NZL: 0.98","#dddddd","#444444","normal"
"CAN","ind_cap",0.8633356323403962,4,"0.86","CAN: 0.86","#009d94","#009d94","bold"
"CAN","ind_crm",0.7876942208868424,11,"0.79","CAN: 0.79","#dddddd","#444444","normal"
"CAN","ind_dig",0.6661729630540767,18,"0.67","CAN: 0.67","#dddddd","#444444","normal"
"CAN","ind_ffm",0.6783129318951031,18,"0.68","CAN: 0.68","#dddddd","#444444","normal"
"CAN","ind_hrm",1,1,"1.00","CAN: 1.00","#009d94","#009d94","bold"
"CAN","ind_inc",1,1,"1.00","CAN: 1.00","#009d94","#009d94","bold"
"CAN","ind_int",0.8671334494747722,2,"0.87","CAN: 0.87","#009d94","#009d94","bold"
"CAN","ind_opn",0.8343317644630646,8,"0.83","CAN: 0.83","#dddddd","#444444","normal"
"CAN","ind_pol",0.9267437784787944,4,"0.93","CAN: 0.93","#009d94","#009d94","bold"
"CAN","ind_pro",0.6004563144295855,13,"0.60","CAN: 0.60","#dddddd","#444444","normal"
"CAN","ind_reg",0.7621439286145332,4,"0.76","CAN: 0.76","#009d94","#009d94","bold"
"CAN","ind_tax",0.6235894346450543,19,"0.62","CAN: 0.62","#dddddd","#444444","normal"
"CAN","incise_index",0.9371708944302656,3,"0.94","CAN: 0.94","#dddddd","#444444","normal"
"FIN","ind_cap",0.8493931508482027,5,"0.85","FIN: 0.85","#009d94","#009d94","bold"
"FIN","ind_crm",0.9788688626016412,3,"0.98","FIN: 0.98","#009d94","#009d94","bold"
"FIN","ind_dig",0.834760581594611,9,"0.83","FIN: 0.83","#dddddd","#444444","normal"
"FIN","ind_ffm",0.7292554742954658,11,"0.73","FIN: 0.73","#dddddd","#444444","normal"
"FIN","ind_hrm",0.6643401430462564,16,"0.66","FIN: 0.66","#dddddd","#444444","normal"
"FIN","ind_inc",0.7939708111180198,6,"0.79","FIN: 0.79","#dddddd","#444444","normal"
"FIN","ind_int",0.7891981653443951,7,"0.79","FIN: 0.79","#dddddd","#444444","normal"
"FIN","ind_opn",0.903366754789044,4,"0.90","FIN: 0.90","#009d94","#009d94","bold"
"FIN","ind_pol",1,1,"1.00","FIN: 1.00","#009d94","#009d94","bold"
"FIN","ind_pro",0.5656094456004275,17,"0.57","FIN: 0.57","#dddddd","#444444","normal"
"FIN","ind_reg",0.528330388972848,15,"0.53","FIN: 0.53","#dddddd","#444444","normal"
"FIN","ind_tax",0.6250249010190951,17,"0.63","FIN: 0.63","#dddddd","#444444","normal"
"FIN","incise_index",0.8821048509670263,4,"0.88","FIN: 0.88","#dddddd","#444444","normal"
"AUS","ind_cap",0.6903754913438311,14,"0.69","AUS: 0.69","#dddddd","#444444","normal"
"AUS","ind_crm",0.9347420756815392,4,"0.93","AUS: 0.93","#009d94","#009d94","bold"
"AUS","ind_dig",0.7080495857825493,14,"0.71","AUS: 0.71","#dddddd","#444444","normal"
"AUS","ind_ffm",0.721270933902963,13,"0.72","AUS: 0.72","#dddddd","#444444","normal"
"AUS","ind_hrm",0.8142652575785041,8,"0.81","AUS: 0.81","#dddddd","#444444","normal"
"AUS","ind_inc",0.775762396394653,8,"0.78","AUS: 0.78","#dddddd","#444444","normal"
"AUS","ind_int",0.7887638616224706,8,"0.79","AUS: 0.79","#dddddd","#444444","normal"
"AUS","ind_opn",0.827728410462405,9,"0.83","AUS: 0.83","#dddddd","#444444","normal"
"AUS","ind_pol",0.8478794251664915,7,"0.85","AUS: 0.85","#dddddd","#444444","normal"
"AUS","ind_pro",0.6763145844039514,7,"0.68","AUS: 0.68","#dddddd","#444444","normal"
