"cc_iso3c","value","value_label","hover_label","text_weight","text_colour","colour_group"
"GBR",1,"1.00","GBR: 1.00","normal","#444444","#dddddd"
"NZL",0.9788692166275432,"0.98","NZL: 0.98","normal","#444444","#dddddd"
"CAN",0.9371708944302656,"0.94","CAN: 0.94","normal","#444444","#dddddd"
"FIN",0.8821048509670263,"0.88","FIN: 0.88","normal","#444444","#dddddd"
"AUS",0.8725648099595219,"0.87","AUS: 0.87","normal","#444444","#dddddd"
"DNK",0.8449329100598051,"0.84","DNK: 0.84","normal","#444444","#dddddd"
"NOR",0.8286484079616708,"0.83","NOR: 0.83","normal","#444444","#dddddd"
"NLD",0.7936445995303185,"0.79","NLD: 0.79","normal","#444444","#dddddd"
"SWE",0.7824137642979726,"0.78","SWE: 0.78","normal","#444444","#dddddd"
"KOR",0.7741809214253687,"0.77","KOR: 0.77","normal","#444444","#dddddd"
"USA",0.7638865868070119,"0.76","USA: 0.76","normal","#444444","#dddddd"
"EST",0.6769788451736509,"0.68","EST: 0.68","normal","#444444","#dddddd"
"CHE",0.6562049270930469,"0.66","CHE: 0.66","normal","#444444","#dddddd"
"IRL",0.6286565175735743,"0.63","IRL: 0.63","normal","#444444","#dddddd"
"AUT",0.6197549768038616,"0.62","AUT: 0.62","normal","#444444","#dddddd"
"FRA",0.6134832154707993,"0.61","FRA: 0.61","normal","#444444","#dddddd"
"ESP",0.5979908496080772,"0.60","ESP: 0.60","normal","#444444","#dddddd"
"BEL",0.5181720248904672,"0.52","BEL: 0.52","normal","#444444","#dddddd"
"DEU",0.4986424324262602,"0.50","DEU: 0.50","normal","#444444","#dddddd"
"LTU",0.4908523393299859,"0.49","LTU: 0.49","normal","#444444","#dddddd"
"MEX",0.47373062854430864,"0.47","MEX: 0.47","normal","#444444","#dddddd"
"CHL",0.4713872752437796,"0.47","CHL: 0.47","normal","#444444","#dddddd"
"LVA",0.45705554778051327,"0.46","LVA: 0.46","normal","#444444","#dddddd"
"JPN",0.45476179750191886,"0.45","JPN: 0.45","normal","#444444","#dddddd"
"ITA",0.41669531559603346,"0.42","ITA: 0.42","normal","#444444","#dddddd"
"SVN",0.3670193002466866,"0.37","SVN: 0.37","normal","#444444","#dddddd"
"ISR",0.32872450187573554,"0.33","ISR: 0.33","normal","#444444","#dddddd"
"POL",0.2818922138614067,"0.28","POL: 0.28","normal","#444444","#dddddd"
"ISL",0.2591035072800579,"0.26","ISL: 0.26","normal","#444444","#dddddd"
"CZE",0.2518617872452379,"0.25","CZE: 0.25","normal","#444444","#dddddd"
"PRT",0.24979062584099507,"0.25","PRT: 0.25","normal","#444444","#dddddd"
"TUR",0.19203332693677808,"0.19","TUR: 0.19","normal","#444444","#dddddd"
"SVK",0.17115495897187907,"0.17","SVK: 0.17","normal","#444444","#dddddd"
"HRV",0.14927794786964638,"0.15","HRV: 0.15","normal","#444444","#dddddd"
"BGR",0.12958097670475255,"0.13","BGR: 0.13","normal","#444444","#dddddd"
"ROU",0.1216608857360482,"0.12","ROU: 0.12","normal","#444444","#dddddd"
"GRC",0.10637013861734056,"0.11","GRC: 0.11","normal","#444444","#dddddd"
"HUN",0,"0.00","HUN: 0.00","normal","#444444","#dddddd"
"InCiSE",0.516875100691825,"0.52","InCiSE: 0.52","bold","#C4622D","#C4622D"
