"cc_iso3c","lead_text","body_text","xref_note"
"AUS","Australia is ranked 5th overall on the Index and achieves above average scores for all indicators.","Australia's crisis and risk management score is noteworthy. It is ranked 5th overall and achieves the maximum score for all metrics assessing the evaluation and communications themes, and for all but one of the metrics on preparedness.  Australia also does well on policy making and regulation (ranked 7th for both). Within the policy making indicator, Australia achieves the maximum score for one of the quality of advice metrics and also a metric assessing central government policy coordination. On regulation, Australia achieves the maximum score for two evaluation metrics.  Australia's highest ranking attribute scores are for integrity and inclusiveness (both ranked 8th). On integrity, Australia achieves the maximum score for the metric assessing the existence of post-employment cooling-off systems.","section 4.1"
"AUT","Austria is ranked 16th overall on the Index. The country's strongest score is for digital services (ranked 4th).","Within the digital services indicator Austria achieves the maximum score for three metrics, including two concerning availability and access to small claims procedures for both Austrian nationals and non-nationals.  Austria also scores strongly on tax administration (ranked 6th). Within this indicator it scores well on the time to pay taxes, tax debt as a proportion of net revenue and the proportion of citizens filing their corporate and VAT tax returns online.  The main indicators where Austria's scores are relatively less strong are policy making, HR management and capabilities, although there are some good individual metric results within them.","section 4.2"
"BEL","Belgium is ranked 21st overall on the Index and its strongest score is for HR management.","Within the HR management indicator, Belgium achieves the maximum score for the metric assessing the extent to which formal examinations are used for civil service recruitment. It scores highly on another employment metric, suggesting a relatively meritocratic recruitment system overall.  Belgium's policy making score is above average and it achieves the maximum score for one of the two policy coordination metrics. Belgium's performance is also above average for tax administration, including two very high metric scores on the extent and quality of digital services.  The main indicators where Belgium's performance is less strong relative to other countries are fiscal and financial management, regulation and capabilities where overall scores are all below average and metric results vary widely.","section 4.3"
"BGR","Bulgaria is a new addition to the Index and is ranked 34th overall.","Specific metric scores for some indicators are noteworthy. For example, within the crisis and risk management indicator Bulgaria achieves the maximum scores for risk planning, the degree of international cooperation, and the existence and use of early warning systems. Most metric scores for this indicator are above average.  Within the capabilities indicator, Bulgaria achieves good scores for the metrics measuring problem solving, use of numeracy skills at work, and readiness to learn. It also scores well against the open budget metric within the fiscal and financial management indicator.  The main indicators where Bulgaria's scores are less strong relative to other countries are tax administration, policy making and HR management.","section 4.4"
"CAN","Canada is ranked 3rd overall on the Index and is ranked top for HR management and inclusiveness.","Canada's top position for HR management and inclusiveness suggests that it has many lessons to share with other countries concerning recruiting, attracting and managing talent, as well as promoting gender and ethnic representation issues in the civil service.  Canada is ranked 2nd for integrity. It achieves very high scores for most attributes, appearing in the top 5 for all but the openness indicator where it is ranked 8th. This is mainly because of relatively lower scores for the right to information theme.  Canada's scores for policy making are very high as well (ranked 4th), most notably for the metrics assessing the quality of policy advice and policy monitoring. It is also ranked 4th for regulation.  The main indicator where Canada's performance is less strong compared with other countries is crisis and risk management where its overall score is at the InCiSE average.","section 4.5"
"CHE","Switzerland is ranked 13th overall on the Index. Its strongest scores are for crisis and risk management and integrity (both ranked 6th).","Switzerland's crisis and risk management scores are all very high apart from one metric which measures specific aspects of risk planning. This suggests a relatively high performing core function across the board.  Within the integrity indicator, Switzerland achieves consistently high scores for the corruption perceptions, fairness and impartiality themes. It also achieves the maximum score for the existence of a post-employment cooling-off period for civil servants. The whistle-blowing metrics merit further analysis as scores vary in this area.  Switzerland is ranked 8th for fiscal and financial management, scoring highly on performance budgeting and the effectiveness of public spending.  The main areas where Switzerland's performance is relatively less strong are digital services, where metric scores vary, and inclusiveness.","section 4.35"
"CHL","Chile is ranked 24th overall on the Index and its highest score is for policy making (ranked 9th).","Within the policy making indicator, Chile's quality of advice results are noteworthy as it achieves the maximum score for both metrics. Chile also does well on procurement (ranked 11th).  Although Chile's HR management score is just below average, its scores for the performance management theme are strong.  This includes achieving the maximum score for the metric on the degree to which performance assessments are used in HR decision making.  The main indicators where Chile's performance is less strong relative to other countries are crisis and risk management and regulation. Chile's tax administration scores vary widely. The scores for the metrics which assess the volume of online VAT, personal and corporate tax returns are very high while other results are relatively low.","section 4.6"
"CZE","Czechia is ranked 30th overall on the Index and its strongest score is for crisis and risk management.","Czechia is ranked 12th for crisis and risk management. Within this indicator Czechia achieves the maximum scores for preparedness, the degree of international cooperation, and the existence and use of early warning systems. It also achieves high scores for its use of research and evaluation in risk planning.  Czechia's procurement, regulation and capabilities scores are all above average. Within the regulation indicator, Czechia achieves the maximum score for a metric assessing the quality of regulatory impact assessments. On capabilities, Czechia achieves the maximum score for the literacy level metric and its numeracy score is strong as well.  The main indicators where Czechia's scores are low relative to other countries are tax administration, policy making and inclusiveness.","section 4.7"
"DEU","Germany is ranked 19th overall on the Index and its strongest score is for fiscal and financial management (ranked 5th).","Within the fiscal and financial management indicator Germany's highest scores are for the effectiveness of public spending theme and the metric assessing medium term budgeting practices. Germany also performs well on regulation (ranked 6th overall) and it achieves the maximum score for the metric assessing the quality of regulatory impact assessments.  Germany is ranked 9th for integrity and some metric scores are noteworthy. For example, Germany achieves the maximum score for the existence of a post-employment cooling-off period. It also attains a high score for the metrics measuring the extent to which official follow rules.  The main indicators where Germany's performance is less strong relative to other countries are crisis and risk management and procurement where metric scores vary widely, and tax administration.","section 4.8"
"DNK","Denmark is ranked 6th overall on the Index and achieves very high scores for many indicators.","Denmark is ranked 2nd for four indicators – policy making, procurement, openness and digital services. It is ranked 3rd for integrity and capabilities. Within the policy making indicator, Denmark achieves the maximum score for the metrics assessing strategic planning, the extent to which academic advice influences policy decisions, and policy monitoring issues.  On openness, Denmark performs very strongly across the theme assessing the degree of consultation with society on policy issues, including achieving maximum scores for two out of three metrics. Denmark achieves the maximum score for six of the digital services metrics, suggesting a strong investment in this core function.  The main indicators where Denmark's scores are less strong relative to other countries are crisis and risk management and inclusiveness. Both overall scores are below average and metric scores vary widely.","section 4.9"
