"cc_iso3c","indicator","value","imputed","raw_value","theta","new_x","new_y","data_label"
"GBR","Capabilities",0.8001822898518329,NA,0.8001822898518329,-1.3089969389957472,0.20710241616739988,0.7729167395070105,"GBR - Capabilities:
0.80"
"GBR","Crisis
and risk
management",0.8353014303440365,NA,0.8353014303440365,-0.7853981633974483,0.5906473057310908,0.5906473057310907,"GBR - Crisis and
risk management:
0.84"
"GBR","Digital
services",0.5073809286638896,NA,0.5073809286638896,-0.2617993877991494,0.4900923427629824,0.1313198474600181,"GBR - Digital
services: 0.51"
"GBR","Fiscal and
financial
management",0.944731744061556,NA,0.944731744061556,0.2617993877991494,0.9125407905041711,-0.24451456787605094,"GBR - Fiscal
and financial
management: 0.94"
"GBR","HR management",0.846225815926419,NA,0.846225815926419,0.7853981633974483,0.5983720128566901,-0.59837201285669,"GBR - HR management:
0.85"
"GBR","Inclusiveness",0.7124396091639281,NA,0.7124396091639281,1.3089969389957472,0.18439293933702097,-0.6881638181627282,"GBR - Inclusiveness:
0.71"
"GBR","Integrity",0.6847067265835708,NA,0.6847067265835708,1.8325957145940461,-0.17721514114963263,-0.6613759106409188,"GBR - Integrity:
0.68"
"GBR","Openness",0.9248875662489756,NA,0.9248875662489756,2.356194490192345,-0.6539942699297728,-0.6539942699297729,"GBR - Openness: 0.92"
"GBR","Policy making",0.951279355064844,NA,0.951279355064844,2.8797932657906435,-0.9188652970727413,-0.24620921430362494,"GBR - Policy making:
0.95"
"GBR","Procurement",0.8897661256990063,NA,0.8897661256990063,3.4033920413889422,-0.8594480801698358,0.23028841901798588,"GBR - Procurement:
0.89"
"GBR","Regulation",1,NA,1,3.9269908169872414,-0.7071067811865477,0.7071067811865475,"GBR - Regulation:
1.00"
"GBR","Tax
administration",0.8359350457630557,NA,0.8359350457630557,4.4505895925855405,-0.21635591031212595,0.8074512498026697,"GBR - Tax
administration: 0.84"
"NZL","Capabilities",1,NA,1,-1.3089969389957472,0.25881904510252074,0.9659258262890683,"NZL - Capabilities:
1.00"
"NZL","Crisis
and risk
management",0.7259167184839702,NA,0.7259167184839702,-0.7853981633974483,0.5133006342167014,0.5133006342167012,"NZL - Crisis and
risk management:
0.73"
"NZL","Digital
services",NA,0.6187307568671506,0.6187307568671506,-0.2617993877991494,0.5976480175773631,0.16013930366791584,"NZL - Digital
services: 0.62
(imputed)"
"NZL","Fiscal and
financial
management",0.8780838540976518,NA,0.8780838540976518,0.2617993877991494,0.8481638723203639,-0.22726482463749537,"NZL - Fiscal
and financial
management: 0.88"
"NZL","HR management",0.8246198551332765,NA,0.8246198551332765,0.7853981633974483,0.5830942914658083,-0.5830942914658083,"NZL - HR management:
0.82"
"NZL","Inclusiveness",0.7260732028216608,NA,0.7260732028216608,1.3089969389957472,0.1879215730288311,-0.701332858381863,"NZL - Inclusiveness:
0.73"
"NZL","Integrity",1,NA,1,1.8325957145940461,-0.25881904510252085,-0.9659258262890683,"NZL - Integrity:
1.00"
"NZL","Openness",0.8672592544404332,NA,0.8672592544404332,2.356194490192345,-0.6132448998616197,-0.6132448998616198,"NZL - Openness: 0.87"
"NZL","Policy making",0.9260427620049072,NA,0.9260427620049072,2.8797932657906435,-0.894488620068601,-0.23967750338621122,"NZL - Policy making:
0.93"
"NZL","Procurement",1,NA,1,3.4033920413889422,-0.9659258262890684,0.25881904510252035,"NZL - Procurement:
1.00"
