"cc_iso3c","cc_name","ind_cap","ind_crm","ind_dig","ind_ffm","ind_hrm","ind_inc","ind_int","ind_opn","ind_pol","ind_pro","ind_reg","ind_tax","incise_index"
"GBR","United Kingdom",0.8001822898518329,0.8353014303440365,0.5073809286638896,0.944731744061556,0.846225815926419,0.7124396091639281,0.6847067265835708,0.9248875662489757,0.9512793550648441,0.8897661256990063,1,0.8359350457630557,1
"NZL","New Zealand",1,0.7259167184839702,0.6187307568671506,0.8780838540976518,0.8246198551332765,0.7260732028216608,1,0.8672592544404332,0.9260427620049071,1,0.7602500522654569,0.6041003235090929,0.9788692166275433
"CAN","Canada",0.8633356323403962,0.7876942208868424,0.6661729630540767,0.6783129318951031,1,1,0.8671334494747722,0.8343317644630646,0.9267437784787943,0.6004563144295855,0.7621439286145332,0.6235894346450543,0.9371708944302655
"FIN","Finland",0.8493931508482027,0.9788688626016412,0.834760581594611,0.7292554742954658,0.6643401430462564,0.7939708111180198,0.7891981653443951,0.9033667547890439,1,0.5656094456004275,0.528330388972848,0.6250249010190951,0.8821048509670263
"AUS","Australia",0.6903754913438311,0.9347420756815393,0.7080495857825493,0.721270933902963,0.8142652575785041,0.775762396394653,0.7887638616224706,0.827728410462405,0.8478794251664915,0.6763145844039514,0.6658641212267792,0.7201545952669387,0.8725648099595219
"DNK","Denmark",0.8835570029915676,0.3501139428581305,0.9767075210507432,0.673343377499003,0.7616937372611576,0.4517413613647379,0.8441838859437496,0.9356771562192746,0.9600420609884333,0.9403929126169154,0.6063417531597391,0.6746875547827406,0.8449329100598051
"NOR","Norway",0.7090283915738099,0.6793039153993559,0.8785666943652992,0.7089118425666,0.6943684703840695,0.7118484081639314,0.824364081624495,1,0.807570977917981,0.5545015819791491,0.5624709159335073,0.7659558279340846,0.8286484079616708
"NLD","Netherlands",0.6896328429924294,1,0.8510445817038512,0.7457729448548804,0.6716844901894947,0.7483792008201183,0.6812956436506858,0.8638584485688013,0.49351559761654396,0.5870521221283319,0.616735467119036,0.7630109069633092,0.7936445995303185
"SWE","Sweden",0.6976274773949507,0.9807333747250256,0.7464843677287564,0.9479834580313045,0.6154644635351589,0.6770066358591464,0.8270884739566517,0.7133258724894361,0.866105853487557,0.356434806565999,0.5230851313214954,0.6239025306477832,0.7824137642979726
"KOR","South Korea",0.6362046981273733,0.7969753485950364,0.5586584764117614,1,0.9712652739866655,0.2563103201232215,0.5044554539248518,0.7109943680304291,0.7651594812478094,0.7464324068002115,0.8077611918733762,0.715431003128687,0.7741809214253687
"USA","United States of America",0.9385996361917021,0.90731303115326,0.6861485841514743,0.794555404565562,0.7749884890102547,0.8736285266848454,0.7122429188085737,0.7042534416316478,0.4917630564318262,0.5069465634245793,0.5703759950932742,0.6091455962924877,0.7638865868070119
"EST","Estonia",0.7947236530771027,0.5122021980066547,1,0.7191691210241098,0.5843832814625661,0.3143070329214546,0.6339880856144166,0.6598843113570033,0.5720294426919033,0.5056650265703996,0.6544643692715041,1,0.6769788451736509
